id,district_id,name
9302052004,930205,Asiki
9302052005,930205,Kapogu
9302052006,930205,Miri
9302062001,930206,Bomakia I
9302062002,930206,Bomakia II
9302062003,930206,Somi
9302062004,930206,Aifa
9302062005,930206,Uni
9302072001,930207,Kombut
9302072002,930207,Moukbiran
9302072003,930207,Kawangtet
9302072004,930207,Amuan
9302082001,930208,Langgoan
9302082002,930208,Tetop
9302082003,930208,Wariktop
9302082004,930208,Autriop
9302082005,930208,Ogenetan
9302092001,930209,Maju
9302092002,930209,Bukit
9302092003,930209,Ujung
9302092004,930209,Ginggimop
9302092005,930209,Patriot
9302092006,930209,Arimbet
9302092007,930209,Aroa
9302102001,930210,Sadar
9302102002,930210,Bangun
9302102003,930210,Makmur
9302102004,930210,Sohokanggo
9302102005,930210,Domo
9302102006,930210,Hamkhu
9302102007,930210,Hello
9302102008,930210,Navini
9302112001,930211,Kuken
9302112002,930211,Kolopkam
9302112003,930211,Awaken
9302112004,930211,Arimbit
9302112005,930211,Anyumka
9302122001,930212,Manggelum
9302122002,930212,Burunggop
9302122003,930212,Bayanggop
9302122004,930212,Gaguop
9302122005,930212,Kewam
9302122006,930212,Mangga Tiga
9302132001,930213,Firiwage
9302132002,930213,Karuwage
9302132003,930213,Waliburu
9302132004,930213,Kabuwage
9302142001,930214,Yaniruma
9302142002,930214,Manggemahe
9302142003,930214,Fefero
9302152001,930215,Subur
9302152002,930215,Kaisa
9302152003,930215,Wagai
9302152004,930215,Aiwat
9302162001,930216,Wanggemalo
9302162002,930216,Sinimburu
9302162003,930216,Yafufla
9302162004,930216,Ugo
9302162005,930216,Dema
9302172001,930217,Ninati
9302172003,930217,Kawaktembut
9302172004,930217,Tembutka
9302172005,930217,Timka
9302172006,930217,Yetetko
9302182001,930218,Sesnuk
9302182002,930218,Anggamburan
9302182003,930218,Kanggup
9302182004,930218,Yomkondo
9302182005,930218,Amboran
9302192001,930219,Meto
9302192002,930219,Obinangge
9302192003,930219,Watemu
9302192004,930219,Ujung Kia
9302202001,930220,Wanggom
9302202002,930220,Kawagit
9302202003,930220,Kombay
9302202004,930220,Biwage 1
9302202005,930220,Biwage 2
9302202006,930220,Niop
9303011013,930301,Kepi
9303012001,930301,Obaa
