kode,nama
9501011001,Wamena Kota
9501011006,Sinapuk
9501011007,Sinakma
9501012002,Honelama
9501012003,Hulekama
9501012004,Batu Merah
9501012005,Autakma
9501012008,Honelama Dua
9501012009,Honaima
9501012010,Lanitipo
9501012011,Wamaroma
9501022001,Jiwika
9501022002,Mulima
9501022003,Waga-Waga
9501022004,Abusa
9501022005,Eragama
9501022006,Kumima
9501022007,Menagaima
9501022008,Iyantik
9501022009,Umpagalo
9501022010,Hopama
9501022011,Obya
9501022012,Utkolo Satu
9501032001,Kimbin
9501032002,Walak
9501032003,Araboda
9501032004,Logotpaga
9501032005,Wawanca
9501032006,Miligatnem
9501032007,Loki
9501032008,Tikawo
9501032009,Kombagwe
9501032010,Wanggonoma
9501042001,Hubikosi
9501042002,Kosimeage
9501042003,Kosihilapok
9501042004,Meagama
9501042005,Pipukmo
9501042006,Isakusa
9501042007,Pelima
9501042008,Kikhumo
9501042009,Jibilabaga
9501042010,Ikilumo
9501042011,Sunili
9501052001,Bolakme
9501052002,Munak
9501052003,Tenonggame
9501052004,Bandua
9501052005,Lani Timur
9501052006,Nunggarugum
9501052007,Poitmos
9501052008,Kugitero
9501052009,Wenamela
9501052010,Bimu
9501052011,Tekani
9501052012,Owagambak
9501062001,Walelagama
9501062002,Pugima
9501062003,Itlay Halitopo
9501062004,Kubulakma
9501062005,Kulaken
9501062006,Wamusage
9501072001,Temia
9501072002,Anegera
9501072003,Elabukama
9501072004,Siapma
9501072005,Hamuhi
9501072006,Kosihave
9501072007,Mulupalek
9501072008,Pumasili
9501072009,Abulukmo
9501072010,Yumugima
9501082001,Wolo
9501082002,Kukurima
9501082003,Pirambot
9501082004,Tegabaga
9501082005,Wollo Timur
9501082006,Alugi
9501082007,Wunan
9501082008,Wodloma
9501092001,Sinata
9501092002,Asolokobal
9501092003,Hesatom
9501092004,Asotapo
9501092005,Wiaima
9501092006,Ninabua
9501092007,Helaluwa
9501092008,Mulinekama
9501092009,Yapema
9501102001,Heatnem
9501102002,Wililimo
9501102003,Yabem
9501102004,Waukahilapok
9501102005,Aleak
9501102006,Inanekelok
9501102007,Witalak
9501102008,Mulukmo
9501102009,Landia
9501102010,Filia
9501102011,Isugunik
9501102012,Hitelowa
9501102013,Duabalek
9501112001,Yalengga
9501112002,Taganik
9501112003,Wananuk
9501112004,Pilimo
9501112005,Tumun
9501112006,Akorek
9501112007,Manili
9501112008,Aipakma
9501112009,Wugurima
9501112010,Bitti
9501112011,Wamanuk Dua
9501122001,Trikora
9501122002,Nanggo
9501122003,Dinggilmo
9501122004,Kora Jaya
9501122005,Korambirik
9501122006,Anggulpa
9501132001,Napua
9501132002,Holima
9501132003,Lani Matuan
9501132004,Okilik
9501132005,Healekma
9501132006,Yelekama
9501132007,Sapalek
9501132008,Yomaima
9501132009,Wilekama
9501142001,Walaik
9501142002,Elarek
9501142003,Holima
9501142004,Yelai
9501142005,Welekama
9501152001,Wouma
9501152002,Ketimavit
9501152003,Wesakma
9501152004,Logonoba
9501152005,Wesakin
9501152006,Pipitmo
9501152007,Sinarekowa
9501162001,Hubikiak
9501162002,Hetuma
9501162003,Dokopku
9501162004,Likino
9501162005,Musiamia
9501162006,Husoak
9501162007,Hom-hom
9501162008,Musiamia Dua
9501172001,Yagarobak
9501172002,Zapma
9501172003,Ayobaibur
9501172004,Ibele
9501172005,Tipalok
9501172006,Habema
9501172007,Zinai
9501172008,Holaliba
9501172009,Yelebarek
9501172010,Yokalpalek
9501182001,Tailarek
9501182002,Senogolik
9501182003,Bokiem
9501182004,Iyora
9501182005,Budliem
9501182006,Yoman Weya
9501182007,Huluaima
9501182008,Entagekokma
9501192001,Lukaken
9501192002,Miami
9501192003,Waroba
9501192004,Yogonima
9501192005,Tomisa
9501192006,Helepalegem
9501192007,Siliwa
9501192008,Sumunikama
9501192009,Kemisake
9501202001,Siepkosi
9501202002,Yumogima
9501202003,Sekan
9501202004,Noagalo
9501202005,Manika
9501202006,Sekan Dalam
9501202007,Isawa Himan
9501202008,Lunaima
9501202009,Wekia
9501212001,Usilimo
9501212002,Siba
9501212003,Wosiala
9501212004,Gua Wisata
9501212005,Undulumo
9501212006,Fikha
9501212007,Meagamia
9501212008,Alona
9501212009,Abutpuk
9501212010,Isaiman
9501222001,Korma
9501222002,Tulem
9501222003,Alula
9501222004,Arogolik
9501222005,Wiligima
9501232001,Muliama
9501232002,Wenabubaga
9501232003,Kilubaga
9501232004,Musalfak
9501232005,Punakul
9501242001,Wadangku
9501242002,Agulimo
9501242003,Musiem
9501242004,Yomosimo
9501242005,Luku-luku
9501252001,Pisugi
9501252002,Pabuma
9501252003,Aikima
9501252004,Pikhe
9501252005,Akiaput
9501252006,Suroba
9501252007,Wara
9501262001,Koragi
9501262002,Telegai
9501262003,Kumudiluk
9501262004,Tagibaga
9501262005,Tenondek
9501272001,Tagime
9501272002,Porome
9501272003,Onggobalo
9501272004,Lakwame
9501272005,Yordania Tulak
9501272006,Gume Kupari
9501272007,Wandinggunie
9501272008,Mulugame
9501272009,Lapeyo
9501272010,Yanggapura
9501272011,Yogobur
9501282001,Tanahmerah
9501282002,Towagame
9501282003,Molagalome
9501282004,Kwigiluk
9501282005,Mebunukme
9501282006,Okwa
9501292001,Tagineri
9501292002,Injuta
9501292003,Binibaga
9501292004,Tamokilu
9501292005,Pagaluk
9501292006,Gelelame
9501292007,Wilaloma
9501292008,Melemei
9501292009,Wuragukme
9501302001,Wogi
9501302002,Elaboge
9501302003,Holasili
9501302004,Yerega
9501302005,Olagi
9501302006,Gigilobo
9501302007,Apnae
9501302008,Wonenggulik
9501312001,Piramid
9501312002,Yonggime
9501312003,Perabaga
9501312004,Algonik
9501312005,Yalinggume
9501312006,Abuneri
9501312007,Gobalimo
9501312008,Balima
9501312009,Yumbun
9501312010,Beam
9501322001,Miliama
9501322002,Asologaima
9501322003,Kewin
9501322004,Holkima
9501322005,Helefa
9501322006,Sekom
9501322007,Delekama
9501322008,Molebaga
9501322009,Silamik
9501322010,Konan
9501322011,Pilibaga
9501322012,Hukuragi
9501332001,Bugi
9501332002,Manda
9501332003,Dewene
9501332004,Totni
9501332005,Tagulik
9501332006,Walak Selatan
9501332007,Kodlangga
9501332008,Air Garam
9501342001,Iriliga
9501342002,Onggobaga
9501342003,Walakma
9501342004,Ayoma
9501342005,Dlonggoki
9501342006,Tirunggu
9501342007,Dlinggama
9501352001,Welesi
9501352002,Yagara
9501352003,Asojelipele
9501352004,Lantipo
9501352005,Pawekama
9501352006,Apenas
9501352007,Tulima
9501362001,Sogokmo
9501362002,Asotipo
9501362003,Putagaima
9501362004,Kuantapo
9501362005,Heberima
9501362006,Iwigima
9501362007,Pobiatma
9501362008,Hitigima
9501362009,Air Garam
9501362010,Hukulimo
9501372001,Maima
9501372002,Minimo
9501372003,Esiak
9501372004,Heraewa
9501372005,Kepi
9501372006,Husewa
9501372007,Menagaima
9501382001,Pupugoba
9501382002,Waima
9501382003,Yomote
9501382004,Yelelo
9501392001,Wame
9501392002,Dumapaga
9501392003,Yanenggame
9501392004,Dogoname
9501401001,Ilokama
9501402002,Kama
9501402003,Yaloaput
9501402004,Mawampi
9501402005,Parema
9501402006,Agamoa
9501402007,Silumarek
9501402008,Wesaganya
9502012001,Kabiding
9502012002,Aldom
9502012003,Kutdol
9502012004,Polsam
9502012005,Akmakot
9502012006,Mabilabol
9502012007,Bunamdol
9502012008,Molbib Silibib
9502022001,Oknanggul
9502022002,Kukihil
9502022003,Kiwi
9502022004,Berusaha
9502022005,Pelebib
9502022006,Sopamikma
9502022007,Asua
9502022008,Lolim
9502022009,Pomding
9502022010,Diip
9502022011,Delpem
9502022012,Mangoldoki
9502032001,Okbifisil
9502032002,Abmisibil
9502032003,Manunggal
9502032004,Iriding
9502032005,Atolbol
9502032006,Oktanglap
9502032007,Oksemar
9502032008,Okaplo
9502042001,Iwur
9502042002,Kurumklin
9502042003,Walapkubun
9502042004,Dinmot Arim
9502042005,Ewenkatop
9502042006,Ulkubi
9502042007,Dipol
9502042008,Nenginum
9502042009,Narnger
9502042010,Kamyoim
9502052001,Batom
9502052002,Oksip
9502052003,Mongham
9502052004,Sabi
9502052005,Neep
9502052006,Muara
9502052007,Batom Dua
9502052008,Akyako
9502052009,Peteng
9502052010,Belomo
9502052011,Abukerom
9502062001,Borme
9502062002,Omban
9502062003,Sikibur
9502062004,Onya
9502062005,Arina
9502062006,Bordamban
9502062007,Aringgon
9502062008,Bukam
9502062009,Kwime
9502062010,Kolgir
9502062011,Cangdamban
9502062012,Laydamban
9502062013,Seban
9502072001,Okyop
9502072002,Oketur
9502072003,Ehipten
9502072004,Wantem
9502072005,Dikdon
9502072006,Okyako
9502072007,Okyaop
9502072008,Tatam
9502072009,Okhik
9502082001,Aboy
9502082002,Luban
9502082003,Jubly
9502082004,Armise
9502082005,Woro
9502082006,Pipal
9502082007,Lulis Wii
9502092001,Pepera
9502092002,Okbon
9502092003,Yun Muku
9502092004,Denom
9502092005,Bon Yakwol
9502092006,Ok Telabe
9502092007,Wok Bakon
9502102001,Bime
9502102002,Bob
9502102003,Kameme
9502102004,Calab
9502102005,Limiri
9502102006,Teli
9502102007,Lim Lim
9502102008,Bunggon
9502102009,Perem
9502102010,Turwe
9502112001,Eraduman
9502112002,Alemsom
9502112003,Tapasik
9502112004,Payol Masumkon
9502112005,Tapob
9502112006,Bakwalin Yub
9502112007,Imiryi
9502112008,Sumtamon
9502112009,Bondik
9502112010,Muruman
9502112011,Binalkom
9502112012,Tibal
9502122001,Bape
9502122002,Masim
9502122003,Akmer
9502122004,Kasawi
9502122005,Tapasik Dua Bapenka
9502122006,Ibot
9502132001,Dabolding
9502132002,Kalomdol
9502132003,Tulo
9502132004,Arinkop
9502132005,Imik
9502142001,Oksop
9502142002,Mimin
9502142003,Atenor
9502142004,Oktumi
9502142005,Alutbakon
9502152001,Yapimakot
9502152002,Seramkatop
9502152003,Parim
9502152004,Siminbuk
9502152005,Modusit
9502152006,Wanbakon
9502152007,Yakmor
9502152008,Okatem
9502162001,Kungulding
9502162002,Bulangkop
9502162003,Limarum
9502162004,Yumakot
9502162005,Aplim
9502162006,Okdo
9502172001,Arintap
9502172002,Tarngop
9502172003,Kawor
9502172004,Sakup
9502172005,Umding
9502172006,Nanum
9502172007,Ater
9502182001,Awinbon
9502182002,Nanum Anaip
9502182003,Mikir
9502182004,Kawe
9502182005,Yelobib
9502192001,Tarup
9502192002,Marang Tiking
9502192003,Imsin
9502192004,Bitipding
9502192005,Onkor
9502192006,Beten Dua
9502192007,Omor
9502202001,Okelwel
9502202002,Kotyobakon
9502202003,Okteneng
9502202004,Tengnong
9502212001,Okma
9502212002,Oktae
9502212003,Tinibil
9502212004,Okdilam
9502212005,Autpahik
9502212006,Tomka
9502212007,Okpa
9502212008,Okhaka
9502212009,Honkuding
9502212010,Bomding
9502212011,Okdunam
9502212012,Paune
9502222001,Oklip
9502222002,Okhim
9502222003,Oktem
9502222004,Okbumul
9502222005,Okamin
9502222006,Oktumi
9502222007,Komok
9502232001,Oktau
9502232002,Oktaru
9502232003,Okbem
9502232004,Okngam
9502232005,Bemhimiku
9502232006,Bilip Bayo
9502232007,Atang Doki
9502232008,Okalut Kumal
9502232009,Kaep
9502242001,Kubiphkop
9502242002,Okano
9502242003,Sebul
9502242004,Mangabip
9502252001,Sabin
9502252002,Borban
9502252003,Kirimu
9502252004,Dumpasi
9502252005,Maksum
9502252006,Pedam
9502252007,Tupoplyom
9502252008,Yapil
9502252009,Atembabol
9502252010,Omliom
9502252011,Peneli
9502252012,Markom
9502262001,Karye
9502262002,Batani
9502262003,Segame
9502262004,Palur Satu
9502262005,Palur Dua
9502262006,Sople
9502262007,Bakata
9502272001,Merpasikne
9502272002,Taramlu
9502272003,Weime
9502272004,Meryang
9502272005,Limrepasikne
9502272006,Youlban
9502272007,Mekdamgon
9502272008,Daluban
9502272009,Nomteren
9502282001,Bias
9502282002,Bumi
9502282003,Tero
9502282004,Delemo
9502292001,Mot
9502292002,Milki
9502292003,Yubu
9502292004,Muara Asbi
9502292005,Tual
9502302001,Jetfa
9502302002,Lulis
9502302003,Tupalma Satu
9502302004,Tupalma Dua
9502302005,Kalimbu
9502302006,Bris
9502312001,Teiraplu
9502312002,Sinami
9502312003,Maigame
9502312004,Murme
9502312005,Yuaban Satu
9502312006,Yuaban Dua
9502312007,Terapdei
9502312008,Yitarget
9502312009,Teriame
9502312010,Bautme
9502322001,Eipumek
9502322002,Lalakon
9502322003,Londinin
9502322004,Talemu
9502322005,Wakidam
9502322006,Bunyirye
9502322007,Basiringe
9502322008,Barama
9502322009,Tanime
9502322010,Serabum
9502322011,Supleyu
9502322012,Kweredala
9502322013,Mungkona
9502322014,Malingdam
9502332001,Marikla
9502332002,Yabosorom
9502332003,Pamek
9502332004,Barice
9502332005,Imde
9502332006,Lumdakna
9502332007,Baramirye
9502332008,Mandalak
9502332009,Yokul
9502332010,Kalek
9502332011,Pinggon
9502342001,Nongme
9502342002,Rubol
9502342003,Yokom
9502342004,Yarigon
9502342005,Omtamur
9502342006,Cangpally
9502342007,Kwarban
9503011001,Obolma
9503012002,Ibiroma
9503012003,Hihundes
9503012004,Wanem
9503012005,Anjelma
9503012006,Pusuaga
9503012007,Wulik Punua
9503012008,Kilise
9503012009,Air Garam
9503012010,Esalien
9503012011,Lukulema
9503012012,Tukuarek
9503012013,Kima
9503012014,Yagarelo
9503012015,Soroh
9503012016,Eroma
9503012017,Lotia
9503012018,Wuluagaima
9503012019,Huken
9503012020,Huguma
9503012021,Parela
9503012023,Hesmat
9503022001,Yahulikma
9503022002,Lelambo
9503022003,Tulpa
9503022004,Ilwap
9503022005,Kiltam
9503022006,Pilong
9503022007,Vuno
9503022008,Suahi
9503022009,Tohong
9503022010,Paliptek
9503022011,Letin
9503022012,Hohe
9503032001,Ninia
9503032002,Liligan
9503032003,Niniahan
9503032004,Waerek
9503032005,Wahaik
9503032006,Sohwal
9503032007,Babet
9503032008,Kahul
9503032009,Hwealoma
9503032010,Liligan II
9503042001,Momnoak
9503042002,Silimo
9503042003,Eksa
9503042004,Siloma
9503042005,Asia
9503042006,Suet
9503042007,Walkruk
9503042008,Sodule
9503042009,Sagaduk
9503042010,Sianele
9503042011,Eremnahom
9503042012,Silon
9503042013,Nikilei
9503042014,Suok
9503042015,Fabe
9503042016,Weakma
9503042017,Pinda
9503042018,Hwesalemo
9503042019,Sebin
9503042020,Wubialo
9503052001,Samenage
9503052002,Haleroma
9503052003,Muke
9503052004,Pona
9503052005,Ison
9503052006,Asotapo
9503052007,Hirin
9503052008,Notnarek
9503052009,Hugi Lokon
9503062001,Nalca
9503062002,Cenderawasih
9503062003,Manggona
9503062004,Bolda
9503062005,Emm
9503062006,Imsekla
9503062007,Hein
9503062008,Luwemna
9503072001,Dekai
9503072002,Kuaserama
9503072003,Moruku
9503072004,Massi
9503072005,Keikey
9503072006,Kuari
9503072007,Muara
9503072008,Kiribun
9503072009,Kokamu
9503072010,Tomon I
9503072011,Sokamu
9503072012,Tomon II
9503082001,Munu
9503082002,Obio
9503082003,Pugun
9503082004,Ujin
9503082005,Yahufa
9503082006,Jibak
9503082007,Patin
9503082008,Hom hom
9503082009,Wendame
9503082010,Kwakenoro
9503082011,Busupa
9503082012,Yagebo
9503082013,Penigik
9503092001,Gopa
9503092002,Jinusugu
9503092003,Woropi
9503092004,Senipan
9503092005,Yosua
9503092006,Rentis
9503092007,Solok
9503102001,Apdagma
9503102002,Sabin
9503102003,Mugi
9503102004,Harap
9503102005,Suok
9503102006,Mul
9503102007,Kolodoma
9503102008,Sangatur
9503102009,Sowaling
9503102010,Yerekama
9503102011,Walkuma
9503112001,Amuma
9503112002,Sarmuge
9503112003,Tolikapura
9503112004,Wisikma
9503112005,Silorin
9503112006,Waeklek
9503112007,Balum Erang
9503112008,Golowen
9503112009,Orugai
9503112010,Plau
9503112011,Sagasal
9503112012,Kinika
9503112013,Harapan
9503122001,Usaregeik
9503122002,Lidipmu
9503122003,Sumegen
9503122004,Hendikma
9503122005,Bue
9503122006,Haletuk
9503122007,Dekbok
9503122008,Yeriko
9503122009,Weleheikma
9503122010,Esaikma
9503132001,Pasema
9503132002,Leinoko
9503132003,Lowet
9503132004,Wea
9503132005,Sengangge
9503132006,Wulin
9503132007,Pupi
9503142001,Paima
9503142002,Dugumhad
9503142003,Leleak
9503142004,Subsal
9503142005,Sengsenagaik
9503142006,Sipnidipmu
9503142007,Hogio I
9503142008,Hogio II
9503152001,Kosihun
9503152002,Seima
9503152003,Userem
9503152004,Yuarima
9503152005,Ugem
9503152006,Wusagasem
9503152007,Hunenima
9503152008,Itlay Wopi
9503152009,Togoluk
9503152010,Herawe
9503152011,Hendang
9503152012,Ilokomo
9503152013,Hulesi
9503152014,Wanesi
9503152015,Panyoke
9503152016,Nyikinen
9503152017,Wesangma
9503152018,Olomising
9503152019,Wemasili
9503152020,Lugulmu
9503162001,Soba
9503162002,Hepinis
9503162003,Aguluntipmu
9503162004,Nilen
9503162005,Surukmu
9503162006,Tanda
9503172001,Lokon
9503172002,Luarima
9503172003,Werima
9503172004,Hanoasuok
9503172005,Wesagalep
9503172006,Wesama
9503172007,Weasi
9503172008,Weriaput
9503172009,Suesi
9503172010,Nesuwen
9503172011,Esema Husage
9503172012,Libuk
9503172013,Hagawen
9503172014,Hepia
9503182001,Tangma
9503182002,Wamarek
9503182003,Hipela
9503182004,Huewi
9503182005,Punno
9503182006,Simeka
9503182007,Yeleas
9503182008,Aleleng
9503182009,Yalimo
9503182010,Helo
9503192001,Ukha
9503192002,Kuleken
9503192003,Amisangi
9503192004,Wenapuk
9503192005,Eki
9503192006,Yelepunu
9503192007,Siolorema
9503192008,Musanarek
9503192009,Walialema
9503192010,Lua
9503192022,Wakunyama
9503202001,Pontenikma
9503202002,Kuni
9503202003,Panggema
9503202004,Homtonggo
9503202005,Tukam
9503202006,Kemumanggen
9503202007,Yangkali
9503202008,Weresili
9503202009,Susek
9503202010,Kolu
9503202011,Tonggoi
9503202012,Bineluk
9503202013,Masahan
9503212001,Kosarek
9503212002,Nahomas
9503212003,Silkom
9503212004,Wahe
9503212005,Hombuka
9503212006,Mine
9503212007,Uldam
9503212008,Tiple
9503212009,Wesaltek
9503212010,Konosa
9503212011,Illion
9503222001,Nipsan
9503222002,Tapla
9503222003,Walmak
9503222004,Serengon
9503222005,Ikmu
9503222006,Biu
9503222007,Ilukdamon
9503222008,Yalmun
9503232001,Ubahak
9503232002,Saruk
9503232003,Pini
9503232004,Sosomikma
9503232005,Suhuntek
9503232006,Keleng
9503232007,Silong
9503232008,Nurap
9503232009,Wamuhuk
9503232010,Welile
9503232011,Mabien
9503232012,Kibianggen
9503232013,Koluang
9503232014,Tolombing
9503232015,Furuluk
9503232016,Oblin
9503232017,Bisifak
9503242001,Siwikma
9503242002,Pontenpilik
9503242003,Piliam
9503242004,Hiklahin
9503242005,Helapilik
9503242006,Lirutek
9503242007,Huhulpunu
9503242008,Pronggoli
9503252001,Walma
9503252002,Solinggul
9503252003,Hontulun
9503252004,Honggolek
9503252005,Werene
9503252006,Weri
9503252007,Wewasi
9503252008,Yetehup
9503262001,Subundalek
9503262002,Tanggeam
9503262003,Amfulma
9503262004,Suksale
9503262005,Linggisen
9503272001,Hereapini
9503272002,Pelentum
9503272003,Homboki
9503272004,Menetsing
9503272005,Pue
9503272006,Kabukal
9503272007,Kinkun
9503272008,Hoet
9503272009,Muhumu
9503272010,Ohena
9503272011,Nelisa
9503282001,Wanam
9503282002,Hereky
9503282003,Membaham
9503282004,Wisomi
9503282005,Talambela
9503282006,Sehelu
9503282007,Ubalihion
9503282008,Walahan
9503282009,Salakma
9503282010,Samiyul
9503282011,Letfet
9503292001,Talambo
9503292002,Tibul
9503292003,Kikila
9503292004,Palukae
9503292005,Wubri
9503292006,Bari
9503292007,Lulum
9503292008,Paleromon
9503292009,Lelambo 2
