kode,nama
940101,Nabire
940102,Napan
940103,Yaur
940104,Uwapa
940105,Wanggar
940106,Siriwo
940107,Makimi
940108,Teluk Umar
940109,Teluk Kimi
940110,Yaro
940111,Wapoga
940112,Nabire Barat
940113,Moora
940114,Dipa
940115,Menou
940201,Mulia
940202,Ilu
940203,Fawi
940204,Mewoluk
940205,Yamo
940206,Nume
940207,Torere
940208,Tingginambut
940209,Pagaleme
940210,Gurage
940211,Irimuli
940212,Muara
940213,Ilamburawi
940214,Yambi
940215,Lumo
940216,Molanikime
940217,Dokome
940218,Kalome
940219,Wanwi
940220,Yamoneri
940221,Waegi
940222,Nioga
940223,Gubume
940224,Taganombak
940225,Dagai
940226,Kiyage
940301,Paniai Timur
940302,Paniai Barat
940303,Aradide
940304,Bogabaida
940305,Bibida
940306,Dumadama
940307,Siriwo
940308,Kebo
940309,Yatamo
940310,Ekadide
940311,Wegee Muka
940312,Wegee Bino
940313,Pugo Dagi
940314,Muye
940315,Nakama
940316,Teluk Deya
940317,Yagai
940318,Youtadi
940319,Baya Biru
940320,Deiyai Miyo
940321,Dogomo
940322,Aweida
940323,Topiyai
940324,Fajar Timur
940401,Mimika Baru
940402,Agimuga
940403,Mimika Timur
940404,Mimika Barat
940405,Jita
940406,Jila
940407,Mimika Timur Jauh
940408,Mimika Tengah
940409,Kuala Kencana
940410,Tembagapura
940411,Mimika Barat Jauh
940412,Mimika Barat Tengah
940413,Kwamki Narama
940414,Hoya
940415,Iwaka
940416,Wania
940417,Amar
940418,Alama
940501,Ilaga
940502,Wangbe
940503,Beoga
940504,Doufo
940505,Pogoma
940506,Sinak
940507,Agandugume
940508,Gome
940509,Dervos
940510,Beoga Barat
940511,Beoga Timur
940512,Ogamanim
940513,Kembru
940514,Bina
940515,Sinak Barat
940516,Mage'abume
940517,Yugumuak
940518,Ilaga Utara
940519,Mabugi
940520,Omukia
940521,Lambewi
940522,Oneri
940523,Amungkalpia
940524,Gome Utara
940525,Erelmakawia
940601,Kamu
940602,Mapia
940603,Piyaiye
940604,Kamu Utara
940605,Sukikai Selatan
940606,Mapia Barat
940607,Kamu Selatan
940608,Kamu Timur
940609,Mapia Tengah
940610,Dogiyai
940701,Sugapa
940702,Homeyo
940703,Wandai
940704,Biandoga
940705,Agisiga
940706,Hitadipa
940707,Ugimba
940708,Tomosiga
940801,Tigi
940802,Tigi Timur
940803,Bowobado
940804,Tigi Barat
940805,Kapiraya
