kode,nama
9301011002,Samkai
9301011003,Karang Indah
9301011004,Mandala
9301011005,Maro
9301011006,Kelapa Lima
9301011007,Rimba Jaya
9301011009,Bambu Pemali
9301011010,Seringgu Jaya
9301011011,Kamundu
9301011012,Kamahedoga
9301011013,Muli
9301012001,Nasem
9301012008,Wasur
9301012014,Bokem
9301012015,Buti
9301012016,Nggolar
9301022001,Muting
9301022002,Boha
9301022003,Wan
9301022004,Kolam
9301022005,Selauw
9301022006,Pachas
9301022007,Seed Agung
9301022008,Enggol Jaya
9301022009,Manway Bop
9301022010,Afkab Makmur
9301022011,Sigabel Jaya
9301022012,Andaito
9301032001,Okaba
9301032002,Wambi
9301032003,Makaling
9301032004,Alatep
9301032005,Iwol
9301032006,Duf Miraf
9301032007,Alaku
9301032008,Sanggase
9301032009,Es Wambi
9301042001,Kimaam
9301042002,Komolom
9301042003,Kumbis
9301042004,Kalilam
9301042005,Teri
9301042006,Mambum
9301042007,Kiworo
9301042008,Woner
9301042009,Deka
9301042010,Turiram
9301042011,Purawanderu
9301042012,Umanderu
9301042013,Webu
9301052001,Matara
9301052002,Waninggap Nanggo
9301052003,Urumb
9301052004,Sido Mulyo
9301052005,Kuprik
9301052006,Kuper
9301052007,Semangga Jaya
9301052008,Marga Mulya
9301052009,Muram Sari
9301052010,Waninggap Kai
9301062001,Yasa Mulya
9301062002,Sumber Harapan
9301062003,Waninggap Say
9301062004,Amun Kay
9301062005,Hidup Baru
9301062006,Sarmayam Indah
9301062007,Ngguti Bob
9301062008,Waninggap Miraf
9301062009,Isano Mbias
9301062010,Yaba Maru
9301062011,Soa
9301062012,Tambat
9301062013,Bersehati
9301062014,Kamangi
9301072001,Kartini
9301072002,Makarti Jaya
9301072003,Nalkin
9301072004,Angger Permegi
9301072005,Poo
9301072006,Mimi Baru
9301072007,Kamno Sari
9301072008,Blandin Kakayo
9301072009,Gurinda Jaya
9301072010,Jagebob Raya
9301072011,Wenda Asri
9301072012,Melin Megikar
9301072013,Obaat Throw
9301072014,Yemunain Jaya
9301082001,Sota
9301082002,Yanggandur
9301082003,Rawa Biru
9301082004,Toray
9301082005,Erambu
9301092001,Selil
9301092002,Kindiki
9301092003,Kumaaf
9301092004,Nggayu
9301092005,Kafyamke
9301092006,Mandekman
9301092007,Rawahayu
9301092008,Belbeland
9301092009,Kir-ely
9301092010,Kandrakay
9301092011,Baidub
9301102001,Bupul
9301102002,Tanas
9301102003,Kweel
9301102004,Sipias
9301102005,Metaat Makmur
9301102006,Enggal Jaya
9301102007,Gerisar
9301102008,Bupul Indah
9301102009,Tof-Tof
9301102010,Bunggay
9301102011,Bouwer
9301102012,Bumun
9301112001,Harapan Makmur
9301112002,Kurik
9301112003,Telaga Sari
9301112004,Sumber Rejeki
9301112005,Jaya Makmur
9301112006,Sumber Mulya
9301112007,Kaliki
9301112008,Ivimahad
9301112009,Salor Indah
9301112010,Candra Jaya
9301112011,Wonorejo
9301112012,Anum Bob
9301112013,Wapeko
9301122001,Kuler
9301122002,Onggaya
9301122003,Tomer
9301122004,Tomerau
9301122005,Kondo
9301132001,Koa
9301132002,Baad
9301132003,Senegi
9301132004,Wayau
9301132005,Kaisah
9301142001,Kumbe
9301142002,Onggari
9301142003,Rawa Sari
9301142004,Padang Raharja
9301142005,Kaiburse
9301142006,Domande
9301142007,Suka Maju
9301152001,Yowied
9301152002,Dokib
9301152003,Wamal
9301152004,Dodalim
9301152005,Woboyo
9301152006,Welbuti
9301162001,Po-Epe
9301162002,Yawimu
9301162003,Taga Epe
9301162004,Nakias
9301162005,Salam Epe
9301162006,Yomop
9301172001,Kwemsid
9301172002,Kaptel
9301172003,Kaniskobat
9301172004,Ihalik
9301172005,Bu Epe
9301182001,Tabonji
9301182002,Wanggambi
9301182003,Suam
9301182004,Yamuka
9301182005,Iromoro
9301182006,Konjombando
9301182007,Yeraha
9301192001,Konorau
9301192002,Waan
9301192003,Toor
9301192004,Kladar
9301192005,Sabon
9301192006,Dafnawanga
9301202001,Wanam
9301202002,Bibikem
9301202003,Wogekel
9301202004,Uli Uli
9301212001,Sabudon
9301212002,Padua
9301212003,Sigad
9301212004,Bamol I
9301212005,Bamol II
9301222001,Kawe
9301222002,Wetau
9301222003,Pembri
9301222004,Sibenda
9301222005,Wantarma
9302012001,Ampera
9302012002,Sokanggo
9302012003,Persatuan
9302012004,Mariam
9302012005,Mawan
9302022001,Mindiptana
9302022002,Umap
9302022003,Awayanka
9302022004,Wanggatkibi
9302022005,Epsembit
9302022006,Andobit
9302022007,Niyimbang
9302022008,Anggumbit
9302022009,Imko
9302022010,Kamka
9302022011,Osso
9302022012,Tinggam
9302022013,Kakuna
9302032001,Woropko
9302032002,Winiktit
9302032003,Kanggewot
9302032005,Inggembit
9302032006,Wametkapa
9302032007,Wombon
9302032008,Upkim
9302032009,Ikcan
9302032010,Upyetetko
9302042001,Kouh
9302042002,Jair
9302042003,Mandobo
9302052001,Getentiri
9302052002,Anggai
9302052003,Butiptiri
9302052004,Asiki
9302052005,Kapogu
9302052006,Miri
9302062001,Bomakia I
9302062002,Bomakia II
9302062003,Somi
9302062004,Aifa
9302062005,Uni
9302072001,Kombut
9302072002,Moukbiran
9302072003,Kawangtet
9302072004,Amuan
9302082001,Langgoan
9302082002,Tetop
9302082003,Wariktop
9302082004,Autriop
9302082005,Ogenetan
9302092001,Maju
9302092002,Bukit
9302092003,Ujung
9302092004,Ginggimop
9302092005,Patriot
9302092006,Arimbet
9302092007,Aroa
9302102001,Sadar
9302102002,Bangun
9302102003,Makmur
9302102004,Sohokanggo
9302102005,Domo
9302102006,Hamkhu
9302102007,Hello
9302102008,Navini
9302112001,Kuken
9302112002,Kolopkam
9302112003,Awaken
9302112004,Arimbit
9302112005,Anyumka
9302122001,Manggelum
9302122002,Burunggop
9302122003,Bayanggop
9302122004,Gaguop
9302122005,Kewam
9302122006,Mangga Tiga
9302132001,Firiwage
9302132002,Karuwage
9302132003,Waliburu
9302132004,Kabuwage
9302142001,Yaniruma
9302142002,Manggemahe
9302142003,Fefero
9302152001,Subur
9302152002,Kaisa
9302152003,Wagai
9302152004,Aiwat
9302162001,Wanggemalo
9302162002,Sinimburu
9302162003,Yafufla
9302162004,Ugo
9302162005,Dema
9302172001,Ninati
9302172003,Kawaktembut
9302172004,Tembutka
9302172005,Timka
9302172006,Yetetko
9302182001,Sesnuk
9302182002,Anggamburan
9302182003,Kanggup
9302182004,Yomkondo
9302182005,Amboran
9302192001,Meto
9302192002,Obinangge
9302192003,Watemu
9302192004,Ujung Kia
9302202001,Wanggom
9302202002,Kawagit
9302202003,Kombay
9302202004,Biwage 1
9302202005,Biwage 2
9302202006,Niop
9303011013,Kepi
9303012001,Obaa
9303012002,Dagimon
9303012003,Rep
9303012004,Mappi Bawah/Yamui
9303012005,Wanggate
9303012006,Piai
9303012007,Muin
9303012008,Gauda
9303012009,Soba
9303012010,Enem
9303012011,Kogo
9303012012,Kadam/Oyim
9303012014,Tokhom
9303012015,Emete
9303012016,Wairu
9303012017,Rayam
9303012018,Harome
9303012019,Metim
9303012020,Masin
9303012021,Madu
9303012022,Yangpop
9303012023,Paedam
9303012024,Marbin
9303022001,Mur
9303022002,Agham
9303022003,Waghien/Koba
9303022004,Khatan
9303022005,Monana
9303022006,Wagin
9303022007,Waman
9303022008,Ima
9303022009,Kogoyaman
9303022010,Magabag
9303022011,Tereyemu
9303022012,Yatan
9303022013,Linggua
9303022014,Waruwe
9303022015,Ghanu
9303032001,Bidnew
9303032002,Senggo
9303032003,Kumasma
9303032004,Womin
9303032005,Tamanin
9303032006,Epem
9303032007,Abau
9303041001,Bade
9303042002,Geturki
9303042003,Mememu
9303042004,Gimikya
9303042005,Banamepe
9303042006,Yodom
9303042007,Isyaman
9303052001,Yagatsu
9303052002,Amagatsu
9303052003,Katage
9303052004,Sogope
9303052005,Wiyage
9303052006,Kasima
9303052007,Amenda
9303052008,Kaibu
9303052009,Omuro
9303052010,Okor
9303052011,Atsipim
9303052012,Semtaipim
9303052013,Geiripim
9303052014,Warogom
9303052015,Kaibusene
9303052016,Arare
9303052017,Paghai
9303052018,Kerke
9303052019,Mani
9303062001,Sigare
9303062002,Jufo Besar
9303062003,Eci
9303062004,Aboge
9303062005,Khanami
9303062006,Yame
9303062007,Kaitok
9303062008,Homang
9303062009,Jufo Kecil
9303062010,Khabu
9303062011,Kiki
9303062012,Isage
9303062013,Kopi
9303062014,Asaren
9303062015,Keru
9303062016,Girimio
9303062017,Haffo
9303062018,Meda
9303072001,Amazu
9303072002,Imembi
9303072003,Yemu
9303072004,Fomu
9303072005,Tiau
9303072006,Binerbis
9303072007,Tayau
9303082001,Sepoh
9303082002,Bagaram
9303082003,Passue/Taim
9303082004,Nohon
9303082005,Kotiak
9303082006,Menya
9303082007,Tokhompatu
9303082008,Kotup
9303082009,Rimba Jaya/Gayu
9303082010,Kaime
9303082011,Baitate
9303082012,Urufu
9303082013,Afogoma
9303092001,Kabe
9303092002,Kaumi
9303092003,Kayagai
9303092004,Ati
9303092005,Upin
9303092006,Taragai
9303092007,Sene
9303092008,Komru
9303092009,Kofar
9303092010,Sumuraman
9303092011,Pano
9303092012,Kogir
9303102001,Sien
9303102002,Sahapikya
9303102003,Harapan
9303102004,Yibin
9303102005,Mopio
9303102006,Pies
9303102007,Memes
9303102008,Getiyo
9303112001,Homlikia
9303112002,Kobeta
9303112003,Asset
9303112004,Osso
9303112005,Bosma
9303112006,Oghoto
9303122001,Amk
