kode,nama
9601011001,Makbon
9601012002,Asbaken
9601012003,Malaumkarta
9601012004,Batu Lubang
9601012005,Batu Lubang Pantai
9601012006,Kwadas
9601012007,Bainkete
9601012008,Teluk Dore
9601012009,Sawatuk
9601012010,Malagasih
9601012011,Klasimigik
9601012012,Klasigi
9601012013,Klagulus
9601012014,Suatolo
9601012015,Mibi
9601022001,Klabra
9601022002,Wanurian
9601022003,Klarion
9601022004,Kaas
9601022005,Wensi
9601022006,Mumpi
9601022007,Klamak
9601022008,Serselion
9601022009,Kmafo
9601022010,Midlal
9601022011,Sorain
9601022012,Armoin
9601022013,Serselion Baru
9601031001,Katinim
9601031002,Majener
9601031003,Majaran
9601031004,Matawolot
9601032005,Walal
9601032006,Malaus
9601032007,Rawa Sugi
9601042001,Seget
9601042002,Malabam
9601042003,Pulau Kasim
9601042004,Kasimle
9601042005,Wewenagu
9601042006,Wasingsan
9601042007,Klayas
9601042008,Wayenkede
9601042009,Mobi
9601051001,Aimas
9601051002,Malawili
9601051003,Malawele
9601051004,Mariat Pantai
9601051005,Mariat Gunung
9601051007,Warmon
9601051008,Klabinain
9601051009,Malasom
9601051010,Klaigit
9601051012,Malagusa
9601051013,Klafma
9601052006,Maibo
9601052011,Aimo
9601052014,Malasaum
9601062001,Klawana
9601062002,Klamono
9601062003,Wariyau
9601062004,Klalomon
9601062005,Wonosari
9601062006,Gisim Darat
9601062007,Mlais
9601062008,Malasmiliy
9601062009,Klasafet
9601062010,Posa
9601072001,Sayosa
9601072002,Maladofok
9601072003,Yorbes
9601072004,Samusa
9601072005,Klamintu
9601072006,Klain
9601082001,Segun
9601082002,Gisim
9601082003,Waimon
9601082004,Klasegun
9601082005,Waimlabat
9601082006,Majemau
9601082007,Klasin
9601082008,Klajaring
9601082009,Malamas
9601091001,Makbusun
9601091002,Makbalim
9601091003,Makotyamsa
9601092004,Jeflio
9601092005,Arar
9601092006,Klain
9601092007,Klasmelek
9601092008,Wen
9601092009,Warmon Kokoda
9601092010,Asjidba
9601092011,Malamay
9601102001,Sailolof
9601102002,Kotlol
9601102003,Dulbatan
9601102004,Manoket
9601102005,Payapop
9601102006,Masmapop
9601112001,Indiwi
9601112002,Klabot
9601112003,Mlat
9601112004,Mlawes
9601112005,Mlasfa
9601112006,Kanolo
9601112007,Somir
9601112008,Warkti
9601122001,Wilty
9601122002,Mlawen
9601122003,Byoklokfle
9601122004,Tbotjin
9601122005,Sas
9601122006,Samolslo
9601122007,Kmasen
9601122008,Klasawon
9601122009,Yurkaden
9601122010,Betwaf
9601122011,Cokhif
9601132001,Luwelala
9601132002,Klatim
9601132003,Klaos
9601132004,Suluh
9601132005,Bousui
9601132006,Kamuyar
9601132007,Klaka
9601132008,Safdesa
9601132009,Klagen
9601141001,Klamalu
9601141002,Mariyai
9601141003,Klasuluk
9601141004,Klamasen
9601141008,Maklalut
9601141009,Klaru
9601141010,Jamaimo
9601142005,Klaben
9601142006,Klasan
9601142007,Fafi
9601142011,Kasih
9601152001,Klayili
9601152002,Klawuluh
9601152003,Malakobutu
9601152004,Kwakeik
9601152005,Klasowoh
9601152006,Malalilis
9601152007,Mlawer
9601152008,Klatomok
9601162001,Siwis
9601162002,Miskum
9601162003,Klamugun
9601162004,Sbaga
9601162005,Klalik
9601162006,Malawhili
9601162007,Klasou
9601172001,Klafdalim
9601172002,Klaforo
9601172003,Klasof
9601172004,Ninjimur
9601172005,Klasari
9601172006,Klawoton
9601172007,Wonosobo
9601172008,Sakamerin
9601172009,Masmili
9601182001,Maibo
9601182002,Malaflon
9601182003,Kabanmolo
9601182004,Kagiwala
9601192001,Disfra
9601192002,Bagun
9601192003,Klawom
9601192004,Klamomis
9601192005,Klakwonrit
9601192006,Mode
9601192007,Bratmawe
9601192008,Klawon
9601192009,Mlamli
9601202001,Saluk
9601202002,Klawaren
9601202003,Woloin
9601202004,Klalin Mos
9601202005,Kwari
9601202006,Kamlin
9601212001,Dasri
9601212002,Masos
9601212003,Ketawas
9601212004,Warbo
9601212005,Suus
9601212006,Sulya
9601212007,Bouwoi
9601222001,Buk
9601222002,Mlakhan
9601222003,Klais
9601222004,Mimpe
9601222005,Tiklen
9601222006,Klahen
9601222007,Moos
9601232001,Saengkeduk
