kode,nama
9402192013,Anggalo
9402192014,Wiyage
9402192015,Piyabigimbut
9402192016,Bunaluk
9402192017,Gereja Lama
9402202001,Amberiambut
9402202002,Kobarak
9402202003,Wugiwagi
9402202004,Yagaluk
9402202005,Moulo
9402202006,Jimbanime
9402202007,Jiguluk
9402202008,Yamoneri
9402202009,Gumawi
9402202010,Digolome
9402202011,Bunume
9402202012,Ngginigum
9402202013,Jimbeneri
9402202014,Jigelo
9402202015,Piyapigi
9402202016,Jibonok
9402212001,Anggutare
9402212002,Agopaga
9402212003,Lerawera
9402212004,Nakongwe
9402212005,Ginilome
9402212006,Yalibate
9402212007,Wurunikime
9402212008,Jimbinggame
9402212009,Oriluk
9402212010,Pagarugom
9402212011,Towoluk
9402212012,Tenolok
9402212013,Jiogobak
9402212014,Tirigoi
9402212015,Mondogoneri
9402212016,Tenomanggen
9402212017,Andiron
9402212018,Ambitmbit
9402212019,Aulakme
9402222001,Nioga
9402222002,Yonggi
9402222003,Wonggi
9402222004,Wambagalo
9402222005,Jigonikme
9402222006,Muruwi
9402222007,Wutime
9402222008,Gibaga
9402222009,Papak
9402222010,Wanduri
9402222011,Walom
9402232001,Gubume
9402232002,Milineri
9402232003,Melela
9402232004,Kenendaga
9402232005,Apelome
9402232006,Kumigi
9402232007,Noba-Noba
9402232008,Nogi
9402232009,Gubuneri
9402232010,Liguni
9402232011,Mondu
9402232012,Jinggi
9402232013,Ginilume
9402232014,Wunggani
9402232015,Menggegenikime
9402232016,Tinggirege
9402232017,Timoramo
9402242001,Guna
9402242002,Mandura
9402242003,Lugubago
9402242004,Andugir
9402242005,Muara Miguni
9402242006,Abili
9402242007,Pereya
9402242008,Ginimanggen
9402242009,Laworege
9402242010,Wumbiri
9402252001,Dagai
9402252002,Dagai 2
9402252003,Deide
9402252004,Faride
9402252005,Soi
9402252006,Mbomban
9402252007,Yeihneri
9402252008,Mandara Lani
9402252009,Debite
9402252010,Gueri
9402262001,Kiyage
9402262002,Wanggiba
9402262003,Amuringgik
9402262004,Tenggabanggwi
9402262005,Tumbiwolu
9402262006,Kelandu
9402262007,Ambo
9402262008,Atoli
9403011001,Enarotali
9403011006,Timida
9403012002,Madi
9403012003,Aikai
9403012004,Ipakiye
9403012005,Papato
9403012007,Kopo
9403012008,Wage
9403012009,Kagupago
9403012010,Oyaigo
9403012011,Kogekotu
9403012012,Awabutu
9403012013,Geko
9403012014,Mugimeketago
9403012015,Tuamakida
9403012016,Geibu
9403012017,Pudotadi
9403012018,Kogekotu
9403012019,Iyaitaka
9403012020,Ugibutu
9403012021,Wouyebutu
9403012022,Amougibutu
9403012023,Dapaiba
9403012024,Yukekebo
9403012025,Agumaida
9403012026,Yagiyo Butu
9403021001,Obano
9403022002,Kegouda
9403022003,Totiyo
9403022004,Beko
9403022005,Tipakotu
9403022006,Epo Obano
9403022007,Towauwo
9403022008,Wiyogei
9403022009,Ekinauwo
9403022010,Kigodide
9403022011,Putakogopa
9403022012,Waukotopa
9403022013,Digiugii
9403032001,Toyaimoti
9403032002,Agapo
9403032003,Abatadi
9403032005,Baguwo
9403032006,Makidini
9403032007,Tagiya
9403032008,Emai
9403032009,Dinubutu
9403032013,Duwadide
9403042001,Bogobaida
9403042002,Nawipauwo
9403042003,Madou
9403042004,Jibudide II
9403042005,Yumauwo
9403042006,Kagoudide
9403042007,Eyapouda
9403042008,Miyokepi
9403042009,Obaya Dimi
9403051001,Bibida
9403052002,Ugidimi
9403052003,Odiyai
9403052004,Tuwaktu
9403052005,Kugaisiga
9403052006,Kolaitaga
9403052007,Dama-dama
9403062001,Duma
9403062002,Bomosiga
9403062003,Japesigaiwaka
9403062004,Waitapa
9403062005,Duma II
9403072001,Todia
9403072002,Dadou
9403072003,Bua
9403072004,Kepi
9403072005,Wageme
9403072006,Bugubutu
9403072007,Dogomouto
9403072008,Giwo
9403072009,Nomokepota
9403072010,Eguai
9403072011,Degatadi
9403072012,Uwoyupi
9403072013,Wegekebo
9403072014,Yinotadi
9403082001,Kebo II
9403082002,Togowa
9403082003,Ibumaida
9403082004,Kagupagu
9403082005,Ayaigo
9403082006,Geibu
9403082007,Yokadagi
9403082008,Bunaida
9403082009,Kedege
9403082010,Uwaiye
9403082011,Dawawa
9403082012,Mugime Ketago
9403082013,Tuwamakida
9403092001,Wotai
9403092002,Keniapa
9403092003,Memiyaibutu
9403092004,Dimiya
9403092005,Udaugi
9403102001,Pasir Putih
9403102002,Geida
9403102003,Widimeida
9403102004,Makidimi
9403102005,Iteuwo
9403102006,Ogeida
9403102007,Teguogi Pugaida
9403102008,Dabamomaida
9403102009,Baguwo
9403102010,Keneugi
9403102011,Debamomaida
9403102012,Tegougi Pugaida
9403111006,Badawo
9403112001,Uwamani
9403112002,Muyadebe
9403112003,Woubutu
9403112004,Kugitadi
9403112005,Kobouyagapa
9403112007,Geko
9403112008,Kinou
9403112009,Toko
9403112010,Yagiyo Butu
9403112011,Obaidagi
9403122001,Dei
9403122002,Obaiyoweta
9403122003,Bubugiwo
9403122004,Yimouto
9403122005,Tamugauwo
9403122006,Dagouto
9403122007,Kopabutu
9403122008,Boutai
9403122009,Buka Duwata
9403132001,Pugo
9403132002,Waidide
9403132003,Kopaidagi
9403132004,Uwibutu
9403132005,Tipago
9403132006,Boba
9403132007,Iyaidagi
9403132008,Iyaitadi
9403132009,Waiepo
9403142001,Muyetadi
9403142002,Mogeya
9403142003,Epabutu
9403142004,Tiga Damuto
9403142005,Bebiyai
9403142006,Idaiyo
9403142007,Tinou
9403142008,Damuto
9403142009,Obaiyodimi
9403142010,Amopa
9403152001,Okaitadi
9403152002,Kito
9403152003,Geiketago
9403152004,Kadiyai
9403152005,Uwodege
9403152006,Digiyo Tuwataida
9403152007,Itoka
9403162001,Ukauwo
9403162002,Waipa
9403162003,Ukago
9403162004,Totiyo
9403162005,Biyadide
9403162006,Pekege
9403172001,Panibagata
9403172002,Pugaida
9403172003,Aweubutu
9403172004,Ipuwa
9403172005,Munaiyepa
9403172006,Kebo I
9403172007,Payogei
9403172008,Detauwo
9403172009,Yaibu
9403172010,Woyouto
9403182001,Youtadi
9403182002,Uwagi
9403182003,Ipouwa
9403182004,Munaiyepa
9403182005,Dokoneida
9403182006,Namutadi
9403192001,Nomouwodide
9403192002,Pikokebo
9403192003,Baya Biru
9403192004,Jigitopa Timur
9403192005,Maatadi
9403192006,Pupekebo
9403202001,Uwebutu
9403202002,Epouto
9403202003,Tugumo
9403202004,Tugu Kagomoma
9403202005,Deiyamo
9403202006,Miyamo
9403212001,Dogomo
9403212002,Bomong Bugopa
9403212003,Dangipa
9403212004,Ondegapa
9403212005,Sogomo
9403222001,Deta
9403222002,Tuguwai
9403222003,Tuguwai Moma
9403222004,Bumaida
9403222005,Debaiye
9403222007,Komopa
9403232001,Obaipugaida
9403232002,Eyagitaida
9403232003,Momageida
9403232004,Ekauwiya
9403232005,DebaKebouda
9403232006,Kaidoutadi
9403232007,Pogeidimi
9403232008,Okonobaida
9403232009,Gakokotu
9403232010,Kegama
9403242001,Yabomaida
9403242002,Akoubaida
9403242003,Dauwagu
9403242004,Ganeyetaka
9403242005,Yabomaida II
9403242006,Bodatadi
9403242007,Ibouwagu
9404011001,Koperapoka
9404011002,Kwamki
9404011003,Timika Jaya
9404011007,Sempan
9404011008,Pasar Sentral
9404011009,Wanagon
9404011010,Kebun Sirih
9404011011,Otomona
9404011012,Perintis
9404011013,Dingo Narama
9404011014,Timika Indah
9404012004,Nayaro
9404012005,Minabua
9404012006,Hangaitji
9404022001,Kiliarma
9404022002,Amungun
9404022003,Aramsolki
9404022004,Fakafuku
9404022005,Masasimamo
9404022006,Emogoma
9404022007,Emkoma Halama
9404022008,Hinat Untung
9404031001,Wania
9404032002,Kaugapa
9404032003,Poumako
9404032004,Tipuka
9404032005,Muare
9404032006,Hiripau
9404042001,Kokonao
9404042002,Migiwia
9404042003,Kiura
9404042004,Mimika
9404042005,Aparuka
9404042006,Atapo
9404042007,Apuri
9404052001,Sempan Timur
9404052002,Wenin
9404052003,Noema
9404052004,Wapu
9404052005,Sumapro
9404052006,Wacakam
9404052007,Waituku
9404052008,Bulumen
9404052009,Kanmapiri
9404052010,Jaitak
9404062001,Jila
9404062002,Diloa
9404062003,Noemun
9404062004,Pasir Putih
9404062005,Jengkon
9404062006,Pilik Ogom
9404062007,Bunaraugin
9404062008,Umpliga
9404062009,Amua Ogom
9404062010,Pusuwe
9404062011,Wandud
9404062012,Diloa Dua
9404072001,Ayuka
9404072002,Amamapare
9404072003,Ohotya
9404072004,Omawita
9404072005,Fanamo
9404082001,Atuka
9404082002,Tiwaka
9404082003,Keakwa
9404082004,Aikawapuka
9404082005,Kamoro
9404091001,Kuala Kencana
9404091002,Karang Senang
9404092003,Utikini Baru
9404092004,Bhintuka
9404092005,Tioka Kencana
9404092006,Mimika Gunung
9404092007,Karya Kencana
9404092008,Utikini Dua
9404092009,Utikini Tiga
9404092010,Jimbi
9404101001,Tembagapura
9404102002,Waa
9404102003,Arwanop
9404102004,"T""Singa"
9404102005,Jagamin
9404102006,Banigogom
9404102007,Opitawak
9404102008,Doliningokngin
9404102009,Banti Dua
9404102010,Aingogin
9404102011,Baluni
9404102012,Noselanop
9404102013,Meningimponogama
9404102014,Jongkogama
9404112001,Potowai Buru
9404112002,Yapkoka
9404112003,Aindua
9404112004,Tapomai
9404112005,Umar
9404122001,Kapiraya
9404122002,Uta
9404122003,Mupuruka
9404122004,Wumuka
9404122005,Akar
9404122006,Mapar
9404122007,Kipia
9404122008,Pronggo
9404122009,Wakia
9404131001,Harapan
9404132002,Meekurima
9404132003,Landun Mekar
9404132004,Olaroa
9404132005,Bintang Lima
9404132006,Damai
9404132007,Walani
9404132008,Amole
9404132009,Lamopi
9404132010,Tunas Matoa
9404142001,Hoya
9404142002,Mamontoga
9404142003,Jinonin
9404142004,Kulama Ogom
9404142005,Puti
9404142006,Jawa
9404152001,Limau Asri Timur
9404152002,Wangirja
9404152003,Iwaka
9404152004,Naena Muktipura
9404152005,Mulia Kencana
9404152006,Pigapu
9404152007,Limau Asri Barat
9404161002,Kamoro Jaya
9404161003,Wonosari Jaya
9404161005,Inauga
9404162001,Kadun Jaya
9404162004,Nawaripi
9404162006,Mawokau Jaya
9404162007,Mandiri Jaya
9404172001,Amar
9404172002,Kawar
9404172003,Manuare
9404172004,Ipiri
9404172005,Paripi
9404172006,Yaraya
9404182001,Enggin
9404182002,Alama
9404182003,Senawak
9404182004,Unimogom
9404182005,Bemoki
9404182006,Tagaralma
9404182007,Geselema
9404182008,Wuarem
9404182009,Jenggelo
9404182010,Purua
9404182011,Kilmit
9405012001,Kago
9405012002,Kimak
9405012003,Wuloni
9405012004,Nipuralome
9405012005,Tagaloa
9405012006,Jenggerpaga
9405012007,kibogolome
9405012008,Ilambet
9405012009,Kalebut
9405022001,Wangbe
9405022002,Jindak
9405022003,Pungki
9405022004,Wonalbe
9405022005,Ulipia
9405022006,Marilaukin
9405022007,Ailpailin
9405022008,Wungbet
9405022009,Nagaljagama
9405022010,Mongkoihol
9405022011,Nangi
9405032001,Yulukoma
9405032002,Milawak
9405032003,Tinggilbet
9405032004,Ogamki
9405032005,Dengkibuma
9405032006,Dambet
9405032007,Ondugi
9405032008,Ambobera
9405042001,Doufo
9405042002,Iratoi
9405042003,Lani
9405042004,Wahuka
9405042005,Sibita
9405042006,Rawa
9405042007,Jirei
9405052001,Pogoma
9405052002,Gagama
9405052003,Wiha
9405052004,Wakme
9405052005,Ugutmu
9405052006,Yugume
9405052007,Kolamagi
9405052008,Guwamu
9405052009,Kumasingga
