kode,nama
960101,Makbon
960102,Beraur
960103,Salawati
960104,Seget
960105,Aimas
960106,Klamono
960107,Sayosa
960108,Segun
960109,Mayamuk
960110,Salawati Selatan
960111,Klabot
960112,Klawak
960113,Maudus
960114,Mariat
960115,Klayili
960116,Klaso
960117,Moisegen
960118,Sorong
960119,Bagun
960120,Wemak
960121,Sunook
960122,Buk
960123,Saengkeduk
960124,Malabotom
960125,Konhir
960126,Klasafet
960127,Hobard
960128,Salawati Tengah
960129,Botain
960130,Sayosa Timur
960201,Teminabuan
960202,Inanwatan
960203,Sawiat
960204,Kokoda
960205,Moswaren
960206,Seremuk
960207,Wayer
960208,Kais
960209,Konda
960210,Matemani
960211,Kokoda Utara
960212,Saifi
960213,Fokour
960214,Salkma
960215,Kais Darat
960301,Misool (Misool Utara)
960302,Waigeo Utara
960303,Waigeo Selatan
960304,Salawati Utara
960305,Ayau
960306,Misool Timur
960307,Waigeo Barat
960308,Waigeo Timur
960309,Teluk Mayalibit
960310,Kofiau
960311,Meos Mansar
960312,Misool Selatan
960313,Warwarbomi
960314,Waigeo Barat Kepulauan
960315,Misool Barat
960316,Kepulauan Sembilan
960317,Kota Waisai
960318,Tiplol Mayalibit
960319,Batanta Utara
960320,Salawati Barat
960321,Salawati Tengah
960322,Supnin
960323,Kepulauan Ayau
960324,Batanta Selatan
960401,Fef
960402,Miyah
960403,Yembun
960404,Kwoor
960405,Sausapor
960406,Abun
960407,Syujak
960408,Moraid
960409,Kebar
960410,Amberbaken
960411,Senopi
960412,Mubrani
960413,Bikar
960414,Bamusbama
960415,Ases
960416,Miyah Selatan
960417,Ireres
960418,Tobouw
960419,Wilhem Roumbouts
960420,Tinggouw
960421,Kwesefo
960422,Mawabuan
960423,Kebar Timur
960424,Kebar Selatan
960425,Manekar
960426,Mpur
960427,Amberbaken Barat
960428,Kasi
960429,Selemkai
960501,Aifat
960502,Aifat Utara
960503,Aifat Timur
960504,Aifat Selatan
960505,Aitinyo Barat
960506,Aitinyo
960507,Aitinyo Utara
960508,Ayamaru
960509,Ayamaru Utara
960510,Ayamaru Timur
960511,Mare
960512,Aifat Timur Tengah
960513,Aifat Timur Jauh
960514,Aifat Timur Selatan
960515,Ayamaru Selatan
960516,Ayamaru Jaya
960517,Ayamaru Selatan Jaya
960518,Ayamaru Timur Selatan
960519,Ayamaru Utara Timur
960520,Ayamaru Tengah
960521,Ayamaru Barat
960522,Aitinyo Tengah
960523,Aitinyo Raya
960524,Mare Selatan
967101,Sorong
967102,Sorong Timur
967103,Sorong Barat
967104,Sorong Kepulauan
967105,Sorong Utara
967106,Sorong Manoi
967107,Sorong Kota
967108,Klaurung
967109,Malaimsimsa
967110,Maladum Mes
